movie_title,avg_compound,avg_positive,avg_neutral,avg_negative,avg_anger,avg_disgust,avg_fear,avg_joy,avg_sadness,avg_surprise
Elle,0.132465663399886,0.3815253685355525,0.23846597992233,0.24905970505735076,0.0893606410457075,0.06665459904364646,0.039997624907515565,0.22375091657079543,0.08614130524325773,0.21926529101011427
I Am Dragon,0.3583862749476205,0.5091765178093577,0.2423403398698771,0.15079024363555668,0.037865754625218975,0.02032290014026593,0.04821834444523758,0.4207887478097452,0.03765270415597646,0.19281122560599162
London Fields,-0.2973681493547925,0.18201569513123678,0.22834566753437302,0.4793838433341303,0.10303085991242701,0.08518628739195835,0.07263886636600973,0.14098929877090677,0.1437844838222015,0.19093681646412924
Motherless Brooklyn,0.14055614893635113,0.3900406729336828,0.26036658927157985,0.24948452698842932,0.07171493778975366,0.026050483453436708,0.01839522827581576,0.2905002278535782,0.15013680057444914,0.1761690702700677
Diabolik,0.02504328581003041,0.17485716373666182,0.41698875253079004,0.14981387775404365,0.07729580097545222,0.0387860809302631,0.13188650479464514,0.09065116919704116,0.09846203037296661,0.1179576352388448
The Girl in the Spider's Web,-0.07879499673843383,0.2841109277540818,0.21983114439062773,0.36290592307457703,0.08207218543044288,0.08023879276544901,0.03816216758394145,0.20170048666535878,0.11866444439161566,0.15933078104513695
Hurricane,0.08797028418872263,0.36598265013814746,0.2258539698850182,0.2780123639325672,0.09794053728480567,0.040530006748218925,0.04340367215268261,0.20561588834064057,0.1343333543559488,0.226348538539832
My Cousin,0.1420588567852974,0.3486128336222221,0.28082667335712663,0.20655397754550597,0.08194886798077879,0.026933651969302398,0.043304372046259185,0.2832721192436293,0.09763792809021345,0.18607638572342694
See You Up There,0.3525786266006805,0.5096438289447515,0.19508529481202086,0.15706520205950017,0.06330600277848399,0.03529673999475088,0.08242733794031658,0.35131161629774227,0.12482104529583547,0.14775198272049975
Antebellum,-0.19398206793671888,0.23961657858547447,0.16792504529542157,0.4335986447314288,0.11258491809634587,0.049568346541393624,0.10062607985217238,0.20906187081826702,0.14533600636801663,0.17462927327903874
Mr. Right,0.2923897280544043,0.49979153243203955,0.2300689593399875,0.20740180283784862,0.07179813009337518,0.02792559228779278,0.027722786222196448,0.3471507693671932,0.0707884925145966,0.20454526846762747
Blackway,0.024405848532915116,0.36480400441214444,0.32561193844885566,0.34039815433323384,0.037532243891619105,0.04375784326897698,0.1071386798820458,0.19504295933293178,0.10964944922598076,0.18126688357442616
The Ballad of Lefty Brown,0.20007372523347533,0.48094980184989117,0.20360846588327722,0.28087608188528707,0.03773604013689754,0.02711585837338737,0.05018477353668355,0.30883219306512427,0.18532847332405958,0.18719419968935347
